date,cash,position_value,equity,open_tickers,open_count
2025-03-13,5497.239690011957,4502.760309988043,10000.0,VRSK,1
2025-03-14,5338.6204485367025,5111.655582462102,10450.276030998804,GEHC,1
2025-03-17,5526.192460323057,5435.249128921959,10961.441589245016,GEHC,1
2025-03-18,5314.986178105391,5102.930498247428,10417.91667635282,GEHC,1
2025-03-19,5540.059124224801,5388.150601952762,10928.209726177563,GEHC,1
2025-03-20,6455.3421616642045,3934.0525043180824,10389.394665982287,KLAC,1
2025-03-21,5176.206674531079,4819.7827410193995,9995.989415550479,BKR,1
2025-03-24,6474.959431179791,4003.008258472627,10477.967689652418,VRTX,1
2025-03-25,5193.869141351339,4883.797722453817,10077.666863805156,GEHC,1
2025-03-26,5078.00338085002,4511.283710709754,9589.287091559774,CHTR,1
2025-03-27,5883.966391516475,4156.449071114275,10040.41546263075,ROP,1
2025-03-28,5067.52130773865,4557.249247780673,9624.770555519322,CSGP,1
2025-03-31,5155.693251313932,4924.80222898346,10080.495480297392,INTU,1
2025-04-01,5661.746381975493,4911.229321220245,10572.975703195738,INTU,1
2025-04-02,5407.1199019963815,4674.732869077333,10081.852771073714,INTU,1
2025-04-03,5475.738486238855,4138.640997927125,9614.37948416598,VRTX,1
2025-04-04,4919.193149491815,4281.3222348814525,9200.515384373268,MSTR,1
2025-04-07,4548.2343505703775,4224.148810314746,8772.383160885123,CSGP,1
2025-04-08,4333.93782200968,4016.030457843969,8349.968279853649,CPRT,1
2025-04-09,5065.729807987847,3685.8415176501985,8751.571325638046,INTU,1
2025-04-10,4369.86983492475,4013.1173389482756,8382.987173873025,EA,1
2025-04-11,4561.891719187977,4222.407188579877,8784.298907767854,CSGP,1
2025-04-14,4813.883702426195,4392.655924199648,9206.539626625843,CSGP,1
2025-04-15,5110.106932709828,4535.69828633598,9645.805219045807,TTWO,1
2025-04-16,9192.23539041221,0.0,9192.23539041221,,0
2025-04-17,6080.795676973502,3111.439713438708,9192.23539041221,VRTX,1
2025-04-21,4826.480798221881,4054.6106208464594,8881.09141906834,QCOM,1
2025-04-22,5201.722992323057,4084.8294888299297,9286.552481152987,FTNT,1
2025-04-23,5810.21647913939,3884.8189508965897,9695.03543003598,TMUS,1
2025-04-24,5473.845598951327,4609.6717261743115,10083.517325125638,CTAS,1
2025-04-25,617.0076708770503,9603.82801012051,10220.83568099756,"BKR,CTAS",2
2025-04-28,5568.265050035422,4539.968895280213,10108.233945315635,CTAS,1
2025-04-29,5750.951945926288,4811.278888917368,10562.230834843656,CSGP,1
2025-04-30,5330.244079749591,4750.8588662023285,10081.10294595192,EA,1
2025-05-01,6916.005528621803,3640.1833039503495,10556.188832572152,TMUS,1
2025-05-02,5523.504145955997,5396.703017011191,10920.207162967188,MNST,1
2025-05-05,5338.318137844376,5042.2187234216935,10380.53686126607,MNST,1
2025-05-06,5541.10187092099,4335.213118002909,9876.3149889239,CTAS,1
