ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
GEHC,2025-03-17,2025-03-18,94.70588235294117,170,4783.025799780042,22,2.1741026362636555,1.95669237263729,82.47000122070312,82.13999938964844,-478.30257997800345,-9.999999999999986,stop
ROP,2025-03-18,2025-03-19,92.0,50,4591.5729930810185,3,15.305243310270061,16.835767641297068,576.8599853515625,577.8300170898438,459.15729930810176,9.999999999999998,tp_day1
ISRG,2025-03-19,2025-03-20,95.81151832460732,191,2697.6062340577932,1,26.976062340577933,29.673668574635727,492.05999755859375,491.80999755859375,269.76062340577937,10.000000000000002,tp_day1
ROP,2025-03-20,2025-03-21,91.8918918918919,37,4507.10133845651,3,15.023671128188369,13.521304015369532,575.4500122070312,572.1799926757812,-450.7101338456505,-9.999999999999988,stop
BKR,2025-03-21,2025-03-24,95.45454545454545,22,4819.781161311297,27,1.785104133818999,1.963614547200899,44.11000061035156,44.599998474121094,481.97811613113026,10.000000000000012,tp_day1
VRTX,2025-03-24,2025-03-25,91.71597633136095,169,4003.008258472627,3,13.343360861575423,12.009024775417881,511.739990234375,509.0400085449219,-400.3008258472628,-10.000000000000002,stop
GEHC,2025-03-25,2025-03-26,94.76439790575915,191,4883.800183822702,22,2.2199091744648642,1.9979182570183778,82.45999908447266,81.0,-488.38001838227046,-10.000000000000005,stop
CHTR,2025-03-26,2025-03-27,88.60103626943005,193,4511.283710709754,3,15.037612369032514,16.541373605935767,384.7699890136719,382.0199890136719,451.12837107097585,10.00000000000001,tp_day1
INSM,2025-03-27,2025-03-28,94.73684210526315,190,4794.848074340834,13,3.688344672569872,3.319510205312885,77.69000244140625,77.98999786376953,-479.48480743408254,-9.999999999999982,stop
FANG,2025-03-28,2025-03-31,94.44444444444444,18,4373.7031293797045,6,7.289505215632841,6.560554694069556,157.5399932861328,159.8800048828125,-437.370312937971,-10.000000000000012,stop
COST,2025-03-31,2025-04-01,91.25,80,4173.2077783709965,1,41.73207778370996,45.90528556208096,945.780029296875,954.4000244140625,417.32077783709974,10.000000000000002,tp_day1
VRSK,2025-04-01,2025-04-02,96.07843137254902,51,4186.312956288494,6,6.977188260480824,6.279469434432742,298.6099853515625,299.7099914550781,-418.6312956288489,-9.999999999999986,stop
TMUS,2025-04-02,2025-04-03,100.0,14,3858.8702303055916,5,7.717740460611182,8.4895145066723,264.55999755859375,267.8900146484375,385.88702303055834,9.999999999999979,tp_day1
VRTX,2025-04-03,2025-04-04,88.88888888888889,135,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
MSTR,2025-04-04,2025-04-07,87.03703703703704,54,4281.3222348814525,1,42.81322234881453,38.53190011393308,293.6099853515625,268.1400146484375,-428.132223488145,-9.999999999999993,stop
TMUS,2025-04-07,2025-04-08,100.0,14,3364.7874195788727,3,11.21595806526291,10.09436225873662,246.6699981689453,246.3000030517578,-336.47874195788654,-9.999999999999979,stop
COST,2025-04-08,2025-04-09,91.17647058823529,68,3574.5789651175683,1,35.745789651175684,39.32036861629326,908.75,965.1900024414062,357.45789651175755,10.00000000000002,tp_day1
VRSK,2025-04-09,2025-04-10,94.11764705882352,34,3788.655309046503,3,12.62885103015501,11.36596592713951,289.3399963378906,285.7799987792969,-378.8655309046503,-10.0,stop
EA,2025-04-10,2025-04-11,89.1891891891892,74,4013.1128333910788,7,5.733018333415827,6.30632016675741,139.38999938964844,142.92999267578125,401.3112833391083,10.00000000000001,tp_day1
VRSK,2025-04-11,2025-04-14,95.65217391304348,46,3940.6711634655394,3,13.135570544885132,14.449127599373647,291.8800048828125,295.1000061035156,394.06711634655494,10.000000000000025,tp_day1
VRTX,2025-04-14,2025-04-15,92.48826291079813,213,4219.071296874439,3,14.063570989581462,15.46992808853961,495.8299865722656,500.489990234375,421.90712968744447,10.000000000000012,tp_day1
TTWO,2025-04-15,2025-04-16,91.41104294478528,163,4535.69828633598,4,11.33924571583995,10.205321144255954,214.60000610351562,211.39999389648438,-453.56982863359826,-10.000000000000005,stop
INSM,2025-04-16,2025-04-17,84.48275862068965,58,4436.9797260692485,10,4.436979726069248,4.880677698676173,70.19999694824219,72.6500015258789,443.69797260692485,10.0,tp_day1
INSM,2025-04-17,2025-04-21,93.62745098039215,204,4294.837179752651,9,4.772041310836279,4.294837179752651,72.6500015258789,69.51000213623047,-429.4837179752649,-9.999999999999996,stop
CSX,2025-04-21,2025-04-22,88.23529411764706,17,4337.374313309666,30,1.4457914377698888,1.5903705815468778,27.459999084472656,27.780000686645508,433.7374313309674,10.000000000000018,tp_day1
ISRG,2025-04-22,2025-04-23,93.23308270676691,133,4179.450783242002,1,41.794507832420024,45.97395861566203,478.739990234375,487.92999267578125,417.94507832420095,10.000000000000018,tp_day1
TMUS,2025-04-23,2025-04-24,100.0,17,3884.822155291805,3,12.949407184306017,14.244347902736619,259.3500061035156,262.17999267578125,388.4822155291813,10.000000000000021,tp_day1
