label,universe_size,usable_tickers,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,candidate_universe_size,signal_days_gate,signal_filtered_size,avg_signal_days
qqq_only_filtered,63,63,71038.1347205751,610.3813472057509,-31.550331665421403,210,61.42857142857143,97,> 10,63,47.698412698412696
nasdaq_only_filtered,650,650,24730.416871694586,147.30416871694584,-65.58928802826006,241,55.18672199170125,859,> 10,650,81.37692307692308
qqq_spy_filtered,249,249,22554.406588423866,125.54406588423865,-42.86842909403674,227,55.06607929515418,502,> 10,249,35.51004016064257
nasdaq_spy_filtered,796,796,22842.98082652085,128.4298082652085,-60.48117695117872,244,54.91803278688525,1193,> 10,796,71.43341708542714
spy_only_filtered,239,239,16264.48621307853,62.644862130785306,-51.66601787447791,223,53.81165919282511,492,> 10,239,33.9581589958159
