variant,ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,target_option_price,stop_option_price,target_spot,stop_spot,pnl,return_pct,exit_reason,days_held
fixed_15_12,TMUS,2025-04-23,2025-04-24,100.0,10,3884.8210569474186,3,12.949403523158063,14.891814051631771,14.891814051631771,11.395475100379095,,,582.7231585421123,14.999999999999991,fixed_tp,1
fixed_15_12,CSGP,2025-04-24,2025-04-28,95.1219512195122,41,4819.145886122691,9,5.354606540136324,4.712053755319965,6.1577975211567715,4.712053755319965,,,-578.297506334723,-12.0,stop,2
fixed_15_12,AMAT,2025-04-25,2025-04-29,94.28571428571428,35,4787.884303496093,3,15.959614344986976,15.983997364339643,18.35355649673502,14.04446062358854,,,7.314905805799754,0.1527795022210121,time_exit,2
fixed_15_12,CSGP,2025-04-29,2025-04-30,100.0,20,4811.278888917368,9,5.345865432130409,4.704361580274759,6.147745246949969,4.704361580274759,,,-577.3534666700843,-12.0,stop,1
fixed_15_12,EA,2025-04-30,2025-05-01,100.0,12,4072.1639046478085,6,6.786939841079681,7.804980817241632,7.804980817241632,5.972507060150119,,,610.8245856971707,14.999999999999991,fixed_tp,1
fixed_15_12,BKNG,2025-05-01,2025-05-02,94.11764705882352,17,4165.193027963355,3,13.88397675987785,15.966573273859526,15.966573273859526,12.217899548692507,,,624.7789541945031,14.999999999999991,fixed_tp,1
fixed_15_12,MNST,2025-05-05,2025-05-07,96.42857142857143,28,5271.41048357724,23,2.2919176015553218,2.016887489368683,2.63570524178862,2.016887489368683,,,-632.5692580292689,-12.0,stop,2
fixed_15_12,CSGP,2025-05-07,2025-05-09,97.22222222222221,36,4519.530164821433,8,5.649412706026791,4.971483181303576,6.496824611930808,4.971483181303576,,,-542.3436197785722,-12.00000000000001,stop,2
fixed_15_12,EA,2025-05-08,2025-05-09,92.85714285714286,14,4941.36463803972,9,5.490405153377466,4.8315565349721705,6.3139659263840855,4.8315565349721705,,,-592.9637565647672,-12.00000000000001,stop,1
fixed_15_12,CSGP,2025-05-12,2025-05-14,96.96969696969697,33,4357.282289219779,9,4.841424765799755,5.567638480669718,5.567638480669718,4.2604537939037845,,,653.5923433829676,15.000000000000014,fixed_tp,2
fixed_15_12,INTU,2025-05-13,2025-05-14,94.73684210526315,19,4268.96780728709,2,21.344839036435452,24.54656489190077,24.54656489190077,18.7834583520632,,,640.3451710930631,14.999999999999991,fixed_tp,1
fixed_15_12,TTWO,2025-05-14,2025-05-15,92.5,40,4710.436975283502,4,11.776092438208755,13.542506303940067,13.542506303940067,10.362961345623704,,,706.5655462925251,14.999999999999991,fixed_tp,1
fixed_15_12,AMAT,2025-05-15,2025-05-16,93.93939393939394,33,5065.459941055136,6,8.442433235091894,7.429341246880867,9.708798220355677,7.429341246880867,,,-607.8551929266159,-11.99999999999999,stop,1
fixed_15_12,MNST,2025-05-19,2025-05-21,97.05882352941177,34,5080.81149230112,32,1.5877535913441,1.825916630045715,1.825916630045715,1.397223160382808,,,762.1217238451682,15.000000000000014,fixed_tp,2
fixed_15_12,MNST,2025-05-22,2025-05-23,96.15384615384616,26,5387.166928443122,37,1.4559910617413843,1.6743897210025918,1.6743897210025918,1.2812721343324183,,,808.0750392664677,14.999999999999991,fixed_tp,1
fixed_15_12,AXON,2025-06-02,2025-06-03,97.14285714285714,35,5192.947872478821,1,51.92947872478822,59.71890053350645,59.71890053350645,45.697941277813634,,,778.9421808718234,15.000000000000014,fixed_tp,1
fixed_15_12,AXON,2025-06-05,2025-06-06,97.36842105263158,38,5130.216796932202,1,51.30216796932202,45.145907813003376,58.99749316472032,45.145907813003376,,,-615.626015631864,-12.0,stop,1
fixed_15_12,CRWD,2025-06-12,2025-06-13,97.14285714285714,35,4306.919979384581,2,21.534599896922906,18.95044790929216,24.76478988146134,18.95044790929216,,,-516.8303975261492,-11.99999999999999,stop,1
fixed_15_12,MSFT,2025-06-13,2025-06-16,100.0,14,5265.753413274547,6,8.776255688790911,10.092694042109548,10.092694042109548,7.723105006136002,,,789.8630119911822,15.000000000000014,fixed_tp,1
fixed_15_12,CDNS,2025-06-16,2025-06-17,92.85714285714286,28,5169.902452082266,3,17.233008173607555,19.817959399648686,19.817959399648686,15.165047192774649,,,775.48536781234,14.999999999999991,fixed_tp,1
fixed_15_12,CRWD,2025-07-02,2025-07-03,100.0,37,4523.544516080638,2,22.61772258040319,26.010380967463664,26.010380967463664,19.903595870754806,,,678.5316774120956,14.999999999999991,fixed_tp,1
fixed_15_12,WBD,2025-07-11,2025-07-14,100.0,27,6864.294064930136,114,0.6021310583272049,0.6924507170762856,0.6924507170762856,0.5298753313279403,,,1029.644109739519,14.999999999999991,fixed_tp,1
fixed_15_12,UPRO,2025-07-22,2025-07-23,100.0,19,7167.33819626558,26,2.7566685370252233,3.1701688175790066,3.1701688175790066,2.4258683125821965,,,1075.1007294398369,14.999999999999991,fixed_tp,1
fixed_15_12,CSGP,2025-08-01,2025-08-04,90.9090909090909,11,7829.3621372871385,22,3.558800971494154,4.092621117218277,4.092621117218277,3.1317448549148557,,,1174.4043205930702,14.999999999999991,fixed_tp,1
