Date,Adj Close,market_norm,equity,strategy_equity_norm,return_20d,return_60d,drawdown_63d,realized_vol_20d,pct_above50,pct_above200,median_member_ret20,trend_score,breadth_score,pullback_score,vol_score,stress_penalty,reversal_score,regime_raw,regime_plot,strategy_forward_20d_return,market_forward_20d_return
2021-03-31,309.6933288574219,171.18083036955917,10000.0,100.0,0.03355246520555433,0.033050911297152874,0.05028095613243544,0.2736666514775034,0.5520833333333334,0.84375,0.03261223434731819,25.0,35.0,25.0,15.0,0,100.0,favorable,favorable,-19.58005597075273,6.6086120548902505
2021-04-01,314.9725341796875,174.09887433934995,10463.282920832631,104.6328292083263,0.06866155292240728,0.04207023545834754,0.03409151527641063,0.26993632254005506,0.6770833333333334,0.8854166666666666,0.07859063184665493,25.0,35.0,18.0,15.0,0,96.5,favorable,favorable,-19.671544970621046,4.134678549213167
2021-04-05,321.26092529296875,177.5747387256817,10980.789660592825,109.80789660592825,0.07382466950834865,0.0778050290028458,0.01480726134170518,0.27327163151553935,0.71875,0.90625,0.07558555592715666,25.0,35.0,6.0,15.0,0,91.33333333333333,favorable,favorable,-19.687566140608237,1.5526435730788712
2021-04-06,321.0376892089844,177.45134653520128,10509.167564165919,105.09167564165918,0.1043469734804836,0.051615280474213154,0.015491846834781775,0.24663386244128446,0.7083333333333334,0.8958333333333334,0.09105995756625174,25.0,35.0,6.0,15.0,0,88.75,favorable,favorable,-20.18661413770473,-0.20554645575190378
2021-04-07,321.8140563964844,177.8804780903376,9986.994957098232,99.86994957098231,0.06501226836176599,0.04077602003462677,0.01311100542071919,0.21062436425716077,0.7291666666666666,0.8854166666666666,0.06214709072314806,25.0,35.0,6.0,15.0,0,87.2,favorable,favorable,-20.198140916611095,-0.7810091470026648
2021-04-08,325.1717224121094,179.7364045927872,10343.263699829587,103.43263699829588,0.07920485920500098,0.0670541360961252,0.002814240651032862,0.2108076713852495,0.7604166666666666,0.90625,0.0725217557600285,25.0,35.0,6.0,15.0,0,83.4,favorable,favorable,-26.675666988476443,-1.0654207554658401
2021-04-09,327.1416931152344,180.82529217718815,9872.22128918015,98.72221289180149,0.061299528662410285,0.07522853089460058,0.0,0.19863831395836956,0.75,0.8958333333333334,0.06279762789311882,25.0,35.0,6.0,15.0,0,81.0,favorable,favorable,-19.468432150692504,-0.8631987655715712
2021-04-12,326.7147521972656,180.58930355862066,10363.659708806941,103.63659708806941,0.06858310733043904,0.06662205217305361,0.0013050642182081962,0.1949994120379916,0.7708333333333334,0.8958333333333334,0.06144049850477573,25.0,35.0,6.0,15.0,0,81.0,favorable,favorable,-19.52448355412233,-3.2405832022282532
2021-04-13,330.528564453125,182.6973617180916,10849.64723286491,108.49647232864909,0.06963042467273639,0.0848742876191575,0.0,0.1955214729622101,0.8645833333333334,0.90625,0.05767821858807287,25.0,35.0,6.0,15.0,0,81.0,favorable,favorable,-26.93507646053789,-4.489149422570526
2021-04-14,326.5594482421875,180.50346037921466,10317.106120445425,103.17106120445425,0.05101695444640475,0.08040493755163136,0.012008390916242284,0.20282248533673866,0.78125,0.8958333333333334,0.04551495859627963,25.0,35.0,6.0,15.0,0,81.0,favorable,favorable,-25.8546229897205,-5.8304316540039425
