ticker
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
ALNY
AMAT
AMD
AMGN
AMZN
APP
ASML
AVGO
AXON
BKNG
BKR
CDNS
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DXCM
EA
EXC
FANG
FAST
FTNT
GEHC
GILD
GOOG
GOOGL
HON
IDXX
INSM
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
MAR
MCHP
MDLZ
MELI
META
MNST
MPWR
MRVL
MSFT
MSTR
MU
NFLX
NVDA
NXPI
ODFL
ORLY
PANW
PAYX
PCAR
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SHOP
SNPS
SOXL
STX
TEAM
TMUS
TRI
TSLA
TTWO
TXN
UPRO
VRSK
VRTX
WBD
WDAY
WDC
WMT
XEL
ZS
