variant,date,cash,position_value,equity,open_tickers,open_count
kappa_signal,2025-03-13,5284.099501190494,4715.900498809506,10000.0,CTAS,1
kappa_signal,2025-03-14,7806.891004670562,2664.6990452103887,10471.590049880951,ISRG,1
kappa_signal,2025-03-17,5520.223294246901,5217.836660155089,10738.05995440199,GEHC,1
kappa_signal,2025-03-18,5113.349488465293,5102.926799921189,10216.276288386482,GEHC,1
kappa_signal,2025-03-19,5553.950868323434,5172.618100055166,10726.5689683786,GEHC,1
kappa_signal,2025-03-20,7210.029355400754,2999.2778029723295,10209.307158373083,META,1
kappa_signal,2025-03-21,5283.360265454649,5225.874673215668,10509.234938670317,VRSK,1
kappa_signal,2025-03-24,11031.822405991883,0.0,11031.822405991883,,0
kappa_signal,2025-03-25,5923.102626379451,5108.719779612432,11031.822405991883,CTAS,1
kappa_signal,2025-03-26,5974.959884302054,5567.734499651073,11542.694383953127,GEHC,1
kappa_signal,2025-03-27,12099.467833918234,0.0,12099.467833918234,,0
kappa_signal,2025-03-28,12099.467833918234,0.0,12099.467833918234,,0
kappa_signal,2025-03-31,6241.439453615711,5858.028380302523,12099.467833918234,GEHC,1
kappa_signal,2025-04-01,8085.957874657119,3427.7071212308642,11513.664995887983,KLAC,1
kappa_signal,2025-04-02,6114.173989632839,5056.720294132058,11170.894283764897,GOOG,1
kappa_signal,2025-04-03,5472.732840352387,5192.489413999304,10665.222254351691,INSM,1
kappa_signal,2025-04-04,5408.506455759179,4737.466857192582,10145.97331295176,PCAR,1
kappa_signal,2025-04-07,9672.226627232503,0.0,9672.226627232503,,0
kappa_signal,2025-04-08,5367.518612195701,4304.708015036802,9672.226627232503,PANW,1
kappa_signal,2025-04-09,7375.075208088907,2727.6222206472776,10102.697428736185,ROP,1
kappa_signal,2025-04-10,9829.935206671456,0.0,9829.935206671456,,0
kappa_signal,2025-04-11,7039.385206790077,2790.549999881379,9829.935206671456,ROP,1
kappa_signal,2025-04-14,10108.990206659593,0.0,10108.990206659593,,0
