variant,label,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct
window_60d,Window 60d,110623.39099354274,1006.2339099354274,-29.87513824483685,243,61.31687242798354
baseline_original,Original 2.3.3,69720.94590120378,597.2094590120379,-36.51242588457983,246,59.34959349593496
volume_adjusted,Add Volume,43900.38842673111,339.00388426731104,-37.47090290284856,241,57.26141078838174
window_126d,Window 126d,41467.832130712995,314.6783213071299,-35.56464355564558,229,57.20524017467249
kappa_signal,Kappa / s-score,31304.307110186546,213.04307110186548,-30.065449105647268,217,56.68202764976959
window_252d_recent_weighted,Window 252d + Recent Weight,30636.652185332307,206.36652185332304,-30.940436769692457,207,57.00483091787439
pca_defactored,PCA Defactored,11971.22655764372,19.712265576437193,-42.88599468569221,218,52.293577981651374
