variant,ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
window_252d_recent_weighted,VRSK,2025-03-13,2025-03-14,99.17874300202885,53,4502.759265374957,5,9.005518530749914,9.906070383824906,289.5,288.5799865722656,450.27592653749616,10.00000000000001,tp_day1
window_252d_recent_weighted,TMUS,2025-03-14,2025-03-17,100.0,10,4649.6384378919365,5,9.299276875783873,10.229204563362261,255.97999572753906,260.1700134277344,464.96384378919447,10.000000000000018,tp_day1
window_252d_recent_weighted,GEHC,2025-03-17,2025-03-18,96.34063022301795,170,5435.246520994884,25,2.1740986083979537,1.9566887475581582,82.47000122070312,82.13999938964844,-543.5246520994879,-9.99999999999999,stop
window_252d_recent_weighted,VRSK,2025-03-18,2025-03-19,96.93470980505244,12,4497.253611256158,5,8.994507222512317,9.89395794476355,288.92999267578125,289.739990234375,449.7253611256165,10.000000000000014,tp_day1
window_252d_recent_weighted,GEHC,2025-03-19,2025-03-20,96.43565890400724,169,5388.143854224131,25,2.1552575416896524,1.9397317875206872,82.4000015258789,81.80999755859375,-538.8143854224136,-10.000000000000009,stop
window_252d_recent_weighted,ROP,2025-03-20,2025-03-21,91.0401743347326,37,4507.1149479196765,3,15.023716493065587,13.521344843759028,575.4500122070312,572.1799926757812,-450.7114947919681,-10.00000000000001,stop
window_252d_recent_weighted,BKR,2025-03-21,2025-03-24,98.74457931241649,22,4819.774204961441,27,1.7851015573931264,1.963611713132439,44.11000061035156,44.599998474121094,481.977420496145,10.000000000000018,tp_day1
window_252d_recent_weighted,VRTX,2025-03-24,2025-03-25,91.16597458185957,169,4003.008258472627,3,13.343360861575423,12.009024775417881,511.739990234375,509.0400085449219,-400.3008258472628,-10.000000000000002,stop
window_252d_recent_weighted,GEHC,2025-03-25,2025-03-26,95.4652679826356,191,4883.791495270964,22,2.2199052251231657,1.9979147026108492,82.45999908447266,81.0,-488.37914952709616,-9.999999999999995,stop
window_252d_recent_weighted,INSM,2025-03-27,2025-03-28,94.02853085633528,190,4426.013607083846,12,3.688344672569872,3.319510205312885,77.69000244140625,77.98999786376953,-442.60136070838416,-9.99999999999999,stop
window_252d_recent_weighted,FANG,2025-03-28,2025-03-31,90.23386657935346,18,4373.704806611359,6,7.289508011018933,6.5605572099170395,157.5399932861328,159.8800048828125,-437.3704806611354,-9.999999999999988,stop
window_252d_recent_weighted,INTU,2025-03-31,2025-04-01,92.6873496541626,103,2462.402127370399,1,24.62402127370399,27.086423401074388,613.989990234375,613.780029296875,246.2402127370401,10.000000000000009,tp_day1
window_252d_recent_weighted,VRSK,2025-04-01,2025-04-02,95.12834246475383,51,4186.305097352286,6,6.977175162253809,6.279457646028429,298.6099853515625,299.7099914550781,-418.6305097352283,-9.999999999999993,stop
window_252d_recent_weighted,TMUS,2025-04-02,2025-04-03,100.0,14,3858.8671042764663,5,7.717734208552932,8.489507629408227,264.55999755859375,267.8900146484375,385.8867104276469,10.000000000000007,tp_day1
window_252d_recent_weighted,VRTX,2025-04-03,2025-04-04,88.02521117507925,135,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
window_252d_recent_weighted,TMUS,2025-04-07,2025-04-08,100.0,14,3364.7909053168382,3,11.215969684389462,10.094372715950517,246.6699981689453,246.3000030517578,-336.47909053168314,-9.99999999999998,stop
window_252d_recent_weighted,COST,2025-04-08,2025-04-09,89.43325557474617,68,3574.5766055079775,1,35.74576605507978,39.320342660587755,908.75,965.1900024414062,357.4576605507982,10.000000000000012,tp_day1
window_252d_recent_weighted,BKR,2025-04-09,2025-04-10,98.20809197393987,15,4105.733867308879,11,3.7324853339171624,3.359236800525446,38.75,36.65999984741211,-410.57338673088816,-10.000000000000005,stop
window_252d_recent_weighted,EA,2025-04-10,2025-04-11,88.38538327693676,74,3439.8048091366536,6,5.733008015227756,6.306308816750532,139.38999938964844,142.92999267578125,343.98048091366536,10.0,tp_day1
window_252d_recent_weighted,VRSK,2025-04-11,2025-04-14,95.06554015721863,46,3940.6721731881216,3,13.135573910627071,14.44913130168978,291.8800048828125,295.1000061035156,394.06721731881316,10.000000000000025,tp_day1
window_252d_recent_weighted,CSGP,2025-04-14,2025-04-15,91.41997201713205,170,3904.583043733021,8,4.880728804666276,5.368801685132905,79.52999877929688,80.51000213623047,390.4583043733023,10.000000000000005,tp_day1
window_252d_recent_weighted,TTWO,2025-04-15,2025-04-16,92.62139768163436,163,4535.69828633598,4,11.33924571583995,10.205321144255954,214.60000610351562,211.39999389648438,-453.56982863359826,-10.000000000000005,stop
window_252d_recent_weighted,WDAY,2025-04-16,2025-04-17,85.19198468069781,13,4117.951189194338,3,13.726503963981129,12.353853567583016,227.7100067138672,221.02000427246094,-411.79511891943366,-9.999999999999995,stop
window_252d_recent_weighted,VRTX,2025-04-17,2025-04-21,90.95124274133684,197,3111.439713438708,2,15.557198567193542,14.001478710474188,489.1000061035156,477.5199890136719,-311.14397134387036,-9.999999999999986,stop
window_252d_recent_weighted,ADSK,2025-04-21,2025-04-22,91.72980205781457,18,3113.619213394555,2,15.568096066972775,17.124905673670053,254.27000427246094,261.1400146484375,311.3619213394554,9.999999999999996,tp_day1
window_252d_recent_weighted,TMUS,2025-04-23,2025-04-24,100.0,17,3884.827810406322,3,12.94942603468774,14.244368638156514,259.3500061035156,262.17999267578125,388.4827810406323,10.000000000000002,tp_day1
window_252d_recent_weighted,TTWO,2025-04-25,2025-04-28,94.52982192465058,198,3952.24427681581,3,13.174147589386031,14.491562348324635,225.3800048828125,225.5500030517578,395.2244276815809,9.999999999999998,tp_day1
window_252d_recent_weighted,VRSK,2025-04-28,2025-04-29,93.76288778116124,62,4152.8446088424225,3,13.842815362808077,15.227096899088886,288.4100036621094,292.3699951171875,415.28446088424334,10.000000000000027,tp_day1
window_252d_recent_weighted,TTWO,2025-04-29,2025-04-30,94.6651040706896,200,3983.6338189524254,3,13.278779396508085,11.950901456857277,230.7100067138672,233.32000732421875,-398.3633818952421,-9.99999999999999,stop
window_252d_recent_weighted,TMUS,2025-05-01,2025-05-02,100.0,22,3640.183763192471,2,18.200918815962353,20.02101069755859,247.0,248.8800048828125,364.0183763192472,10.000000000000002,tp_day1
window_252d_recent_weighted,MNST,2025-05-02,2025-05-05,92.63646309156198,214,4625.745443152449,18,2.569858579529139,2.312872721576225,60.04999923706055,60.90999984741211,-462.57454431524457,-9.999999999999993,stop
window_252d_recent_weighted,VRSK,2025-05-05,2025-05-06,93.70205160941475,54,4257.236157686365,4,10.643090394215912,11.707399433637505,294.75,296.19000244140625,425.7236157686375,10.000000000000025,tp_day1
window_252d_recent_weighted,CTAS,2025-05-06,2025-05-07,94.59873341732425,67,4335.203846757628,5,8.670407693515255,9.53744846286678,213.30999755859375,215.11000061035156,433.5203846757631,10.000000000000009,tp_day1
