date,baseline_60d,min_drop_0.5pct,min_drop_1.0pct,min_drop_2.0pct,min_drop_3.0pct,min_drop_4.0pct
2025-03-17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2025-03-18,9521.698045302033,9530.155340255033,9518.14805235764,10000.0,10000.0,10000.0
2025-03-19,9989.46676262514,9997.924057578137,9985.916769680745,10448.93726530682,10448.93726530682,10448.93726530682
2025-03-20,9493.756955343877,10469.459558351562,10373.49065807038,10448.93726530682,10448.93726530682,10448.93726530682
2025-03-21,9100.35160782477,10076.054210832455,9895.33968981989,10448.93726530682,10448.93726530682,10448.93726530682
2025-03-24,9546.626811953018,10494.491453409853,10313.776932397286,10927.162624570268,10448.93726530682,10448.93726530682
2025-03-25,9146.325986105756,10990.93316898979,10827.03537303011,10927.162624570268,10448.93726530682,10448.93726530682
2025-03-26,8702.343999513063,10566.931225042486,10317.559624289472,11345.646911844862,10448.93726530682,10448.93726530682
2025-03-27,9003.096246893714,10497.434714996056,10248.063114243041,11276.150401798432,10379.44075526039,10379.44075526039
2025-03-28,8587.451245645821,9556.98280952486,9481.236214839204,10341.251092847073,9587.051670109851,9955.357103948974
2025-03-31,9010.624390082598,10012.707734302927,9936.961139617273,10341.251092847073,9587.051670109851,9955.357103948974
2025-04-01,9256.864450812845,10495.098272649208,10419.351677963554,10777.573439939131,10023.37401720191,10391.679451041033
2025-04-02,9011.303056909239,10003.975484841994,9904.819880555577,11231.525554977592,10023.37401720191,10391.679451041033
2025-04-03,8777.566602858453,9536.502576740422,9440.097637767558,10794.225058145985,10023.37401720191,10391.679451041033
2025-04-04,8363.70250306574,9122.63847694771,8978.98466600509,10794.225058145985,10023.37401720191,10391.679451041033
2025-04-07,8363.70250306574,8694.506253459565,8550.852442516945,10366.09283465784,9595.241793713765,9963.547227552888
2025-04-08,7979.688974855309,8272.09137242809,8550.852442516945,10366.09283465784,9595.241793713765,9963.547227552888
2025-04-09,8363.037336740415,8673.694418212488,8933.963718661613,10861.989641510281,9595.241793713765,9963.547227552888
2025-04-10,7994.453432844193,8257.63806919738,8685.131951827156,10321.42441488669,9595.241793713765,9963.547227552888
2025-04-11,8338.434609387112,8666.26522551194,9093.759108141712,10321.42441488669,9595.241793713765,9963.547227552888
2025-04-14,8713.759692816435,9088.505944369928,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-15,9104.217997189739,9527.771536789893,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-16,8650.648168556141,9095.301586522999,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-17,8650.648168556141,9095.301586522999,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-21,8339.50419721227,9095.301586522999,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-22,8744.964959521414,9543.497502661785,9515.999826999701,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-23,9153.447908404407,9951.980451544778,9924.482775882694,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-24,9541.93056745575,10340.463110596122,9584.299661966117,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-25,9679.248889223967,10822.377699208391,10037.953992246528,10833.386817707742,9595.241793713765,9963.547227552888
2025-04-28,9529.28717205935,11301.166171978859,10518.863997796012,11363.500767380152,9595.241793713765,9963.547227552888
2025-04-29,9983.283872225777,11860.331076824692,10518.863997796012,11922.665672225985,9595.241793713765,9963.547227552888
2025-04-30,9502.15598333404,11272.285879290348,10037.736108904275,11922.665672225985,9595.241793713765,9963.547227552888
2025-05-01,9977.241615924875,11815.240887965589,10512.82174149511,12446.326019262868,9595.241793713765,9963.547227552888
2025-05-02,10341.26012188541,11815.240887965589,10512.82174149511,12446.326019262868,9595.241793713765,9963.547227552888
2025-05-05,9827.288405979583,11815.240887965589,10512.82174149511,12446.326019262868,9595.241793713765,9963.547227552888
2025-05-06,9345.985709652967,11242.26148757676,11002.638337773402,12559.04158853502,9595.241793713765,9963.547227552888
2025-05-07,9779.507160071193,11774.059698656332,11534.436548852973,12789.417780847181,9595.241793713765,9963.547227552888
2025-05-08,9292.315666266473,12339.000969259012,11534.436548852973,12789.417780847181,9595.241793713765,9963.547227552888
2025-05-09,9740.105292879985,11735.056699406214,10985.396303532249,12789.417780847181,9595.241793713765,9963.547227552888
2025-05-12,10107.01819952907,12224.273908271658,11474.613512397693,13402.391555663897,9595.241793713765,9963.547227552888
2025-05-13,10591.160676109044,12805.24488016763,11953.642975732451,13881.421018998655,9595.241793713765,9963.547227552888
2025-05-14,11018.057152553116,13232.1413566117,12380.539452176523,13881.421018998655,9595.241793713765,9963.547227552888
2025-05-15,11568.729255896664,13820.94597852214,12896.606061665712,13211.358094235396,9595.241793713765,9963.547227552888
2025-05-16,11062.18388322217,13145.55214828948,13522.030549759373,13833.58676863863,10047.771738734298,9963.547227552888
2025-05-19,11611.3899975787,13791.676988708929,13019.970465182489,14316.683013727099,9546.957214655973,9963.547227552888
2025-05-20,12182.98129046258,14474.411032986896,12907.379540660098,14673.81616474333,9546.957214655973,9963.547227552888
2025-05-21,12782.086562289893,15193.337359179674,11763.30213517696,13134.09147144033,9546.957214655973,9963.547227552888
2025-05-22,13239.828841699948,15879.950778294755,12221.044414587015,13591.833750850385,10004.699494066028,10421.289506962943
2025-05-23,12604.826179439531,16666.185951635103,11648.091293767699,13591.833750850385,10004.699494066028,10421.289506962943
2025-05-27,13216.520504522368,17481.778385078884,12219.005997178347,14244.30769760541,10488.751898175351,10421.289506962943
2025-05-28,13794.935048319649,16759.53252566227,11737.508757567271,14244.30769760541,10488.751898175351,10421.289506962943
2025-05-29,14257.929587247914,17454.02433405467,12200.503296495537,14938.79950599781,10951.746437103617,10421.289506962943
2025-05-30,14958.967312764726,18118.19504576274,12785.802756957728,14194.881193259629,11405.91491183428,10421.289506962943
2025-06-02,15472.657581574076,17218.405138967533,13287.181782080239,14668.11909259043,11879.15281116508,10935.550545544133
2025-06-03,16214.767367388857,17737.699926215417,13806.476569328122,15210.447231962607,12318.231245818522,10935.550545544133
2025-06-04,15468.799193408351,18517.981719171592,14430.702003693064,15814.793079394469,12903.20511704373,10935.550545544133
2025-06-05,15978.4008694787,19344.873291285483,15131.458478890405,15038.79426797395,12299.65048593888,10418.21800459712
2025-06-06,15202.955015886311,18831.85161159226,15875.20234658376,14400.510230811138,12299.65048593888,10418.21800459712
2025-06-09,15950.604000310494,19761.3611597953,15875.20234658376,14400.510230811138,12299.65048593888,10418.21800459712
2025-06-10,15168.18525029366,18802.88685029441,15085.87056228891,13723.940129986982,12898.850805211197,10717.818164233278
2025-06-11,14426.33016701763,17880.58053054583,15085.87056228891,14397.033185894918,13437.325249937547,11253.212904750944
2025-06-12,15147.515701530861,17880.58053054583,15085.87056228891,14908.606060925766,13437.325249937545,11253.212904750944
2025-06-13,15147.515701530861,17019.196534668918,14337.361006555173,14214.874809421946,12974.837748934999,11253.212904750944
2025-06-16,14400.12392162016,17809.05937137365,14976.482436911241,14883.00524815534,12974.837748934999,11253.212904750944
2025-06-17,13813.200906535714,18670.70978005403,14318.752119904831,14883.00524815534,12974.837748934999,11253.212904750944
2025-06-18,14491.312228668594,17783.63826790116,13653.44848579018,15548.475783475424,13545.241064923644,11253.212904750944
2025-06-20,13778.961315150533,18629.745742300307,14304.30038917414,16317.37529267215,13545.241064923644,11253.212904750944
2025-06-23,13133.0215043569,19556.86755578121,13645.790118292844,17070.06176078291,13545.241064923644,11253.212904750944
2025-06-24,13735.138907527904,20493.494627380547,14314.809455149512,16378.004042897468,13083.869253000013,11253.212904750944
2025-06-25,13228.6514329531,19480.519678230936,13808.321980574709,15618.272831035261,12577.38177842521,11253.212904750944
2025-06-26,13864.580107070387,20451.147654515218,13153.468013628102,16373.180786918761,13205.395241618331,11567.219636347505
2025-06-27,14530.868018233523,21450.579521259922,12542.541891179222,15558.61262365359,13205.395241618331,11567.219636347505
2025-06-30,15023.770615740263,22489.809910056338,13153.853884588878,15558.61262365359,13205.395241618331,11567.219636347505
2025-07-01,14316.59962150424,21368.32684271116,12560.127554817904,14825.74146009322,13205.395241618331,11567.219636347505
2025-07-02,13627.137011805436,20334.13292816296,11939.611206088983,14088.517498584726,12571.66206254456,12119.880649948005
2025-07-03,14305.668689217533,21238.84183137909,12512.420556366542,14776.92543371965,13149.420827579635,12119.880649948005
2025-07-07,13687.437614178503,20208.456706314042,13134.187144616611,15513.161777558118,13640.245056805281,12119.880649948005
2025-07-08,13007.423273339611,19528.44236547515,13783.998816848718,16248.025935168846,13640.245056805281,12119.880649948005
2025-07-09,12439.164952609864,20330.76360844692,14385.739749077546,17032.25186766731,13640.245056805281,12119.880649948005
2025-07-10,11855.908828137628,19629.190535713227,15020.108692126167,17032.25186766731,13640.245056805281,12119.880649948005
2025-07-11,11327.447745069356,18677.960586190336,14340.616454019186,17857.16796055781,12974.112294134702,11675.792141500953
2025-07-14,11893.450939896931,19611.263726597506,15057.152413428563,17857.16796055781,12974.112294134702,11675.792141500953
2025-07-15,12486.339561500863,20524.344935494097,15798.746814129503,17031.02933759452,12974.112294134702,11675.792141500953
2025-07-16,11887.135834091521,21541.381480628326,16532.650823680997,17764.933347146012,12974.112294134702,11675.792141500953
2025-07-17,12413.989106451494,22576.54636384331,17324.24749908069,18610.289584972263,12974.112294134702,11675.792141500953
2025-07-18,11795.445605332632,21477.482991822435,18151.380521488158,18610.289584972263,12974.112294134702,11675.792141500953
2025-07-21,11260.245904196148,20407.083589549467,19056.81430565021,19536.418998486588,12974.112294134702,11675.792141500953
2025-07-22,11820.019746100199,21423.920476677926,18145.808062253673,19536.418998486588,12974.112294134702,11675.792141500953
2025-07-23,12393.105612853864,22426.82074349684,19005.43686238417,18585.51298283519,12974.112294134702,11675.792141500953
2025-07-24,12946.801851633216,23534.213221055543,19874.707462786235,19461.52773742094,13599.837118838812,11675.792141500953
2025-07-25,12302.929708085892,22363.031994430672,18892.476795762712,18598.765435622037,13599.837118838812,11675.792141500953
2025-07-28,12850.553342159952,23458.27926257879,19768.674610281207,19523.888885405642,13599.837118838812,11675.792141500953
2025-07-29,13427.1644807224,24611.50153970369,20633.591318124883,19523.888885405642,13599.837118838812,11675.792141500953
2025-07-30,14087.582278323249,23415.46403170043,19625.08799281645,18608.824587495204,13599.837118838812,11675.792141500953
2025-07-31,13383.766676973617,22248.692366662617,18661.426389206226,17725.468117519165,13599.837118838812,11675.792141500953
2025-08-01,12718.10406766718,21141.029784776707,17729.498736177215,17725.468117519165,13599.837118838812,11675.792141500953
2025-08-04,13336.87234903161,22173.08206651001,18583.61096933581,18546.633339941225,14215.711035655357,11675.792141500953
2025-08-05,13941.0358206769,23079.327273977946,17655.98961404658,17814.765372922095,14215.711035655357,11675.792141500953
2025-08-06,14637.693706276736,24228.5585305149,18535.71088564345,18704.656832629917,14215.711035655357,11675.792141500953
2025-08-07,15285.381863948878,25439.415178008996,19441.65372503427,19625.96876656883,14215.711035655357,11675.792141500953
