position_id,ticker,contract_symbol,entry_timestamp_et,exit_timestamp_et,entry_trade_date_et,exit_trade_date_et,entry_option_price,exit_option_price,entry_spot,exit_spot,entry_iv_pct,exit_iv_pct,contracts,allocated_cash,proceeds,pnl,return_pct,success_rate,matched_signals,current_drop_pct_at_entry,exit_reason,business_days_held
AVGO_20260324T150005,AVGO,AVGO260515C00320000,2026-03-24T15:00:05.740108-04:00,2026-03-26T10:30:00.722036-04:00,2026-03-24,2026-03-26,22.725,20.025,318.54998779296875,314.5299987792969,48.32204998779297,48.60586062622071,2,4545.0,4004.999999999999,-540.0000000000005,-11.881188118811892,93.33,30,1.23,stop_scan,2
FANG_20260325T150003,FANG,FANG260515C00195000,2026-03-25T15:00:03.353246-04:00,2026-03-26T10:30:00.722036-04:00,2026-03-25,2026-03-26,12.2,13.9,195.52999877929688,200.19000244140625,41.94393994140625,40.85142156982422,4,4880.0,5560.0,680.0,13.934426229508196,100.0,25,0.78,tp_day1_scan,1
ABNB_20260326T150001,ABNB,ABNB260515C00130000,2026-03-26T15:00:01.983935-04:00,2026-03-27T10:00:06.175720-04:00,2026-03-26,2026-03-27,9.85,8.725,130.7899932861328,125.87999725341797,51.92919165039063,56.52509295654298,5,4925.0,4362.5,-562.5,-11.421319796954315,94.29,35,0.77,stop_loss_hit_at_scan,1
