label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct
gate_70,60,70.0,10,2021-01-01,2026-03-13,9266568.006895695,92565.68006895695,-61.47604683611887,1285,56.65369649805447,1.338527830598524
gate_75,60,75.0,10,2021-01-01,2026-03-13,8893657.502985826,88836.57502985826,-61.347762641093816,1284,56.61993769470405,1.331782135762542
gate_78,60,78.0,10,2021-01-01,2026-03-13,9095648.99099588,90856.48990995881,-61.26371691585647,1282,56.63026521060842,1.333859799000861
gate_80,60,80.0,10,2021-01-01,2026-03-13,9525897.68214627,95158.9768214627,-62.41466088269835,1279,56.68491008600469,1.3448070854723249
gate_82,60,82.0,10,2021-01-01,2026-03-13,8147095.068903298,81370.95068903298,-63.29904640808061,1274,56.59340659340659,1.3265370975817135
gate_85,60,85.0,10,2021-01-01,2026-03-13,7772761.110946786,77627.61110946785,-58.81581264833508,1259,56.55281969817315,1.3185133139945222
