label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct
official_60d,60,80.0,10,2021-01-01,2026-03-13,9525897.68214627,95158.9768214627,-62.41466088269835,1279,56.68491008600469,1.3448070854723249
legacy_252d,252,80.0,10,2021-01-01,2026-03-13,8689127.71491343,86791.27714913429,-68.23333403693677,1275,56.549019607843135,1.3170601200427647
official_local_grid_rank,60,80.0,10,2021-01-01,2026-03-13,,4.0,,45,,
placebo_percentile,60,80.0,10,2021-01-01,2026-03-13,,76.66666666666667,,30,,
