label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct
lookback_20,20,80.0,10,2021-01-01,2026-03-13,1000327.1583266724,9903.271583266724,-61.640834963240856,1157,55.22904062229905,1.0512255279980618
lookback_40,40,80.0,10,2021-01-01,2026-03-13,1904130.0475186254,18941.300475186254,-64.99162598588019,1275,55.372549019607845,1.0823529411764767
lookback_60,60,80.0,10,2021-01-01,2026-03-13,9525897.68214627,95158.9768214627,-62.41466088269835,1279,56.68491008600469,1.3448070854723249
lookback_80,80,80.0,10,2021-01-01,2026-03-13,3673887.334253844,36638.873342538434,-70.98905755845387,1272,56.05345911949685,1.2185599546533834
lookback_100,100,80.0,10,2021-01-01,2026-03-13,2717266.789670446,27072.66789670446,-53.8067653456453,1278,55.633802816901415,1.1448995668404196
lookback_126,126,80.0,10,2021-01-01,2026-03-13,2075965.4575150986,20659.654575150988,-63.82822702536423,1279,55.355746677091474,1.1009315447267234
lookback_160,160,80.0,10,2021-01-01,2026-03-13,1885585.4878959754,18755.85487895975,-59.85542051573003,1279,55.355746677091474,1.0875141874161627
lookback_252,252,80.0,10,2021-01-01,2026-03-13,8689127.71491343,86791.27714913429,-68.23333403693677,1275,56.549019607843135,1.3170601200427647
