ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
MSTR,2025-03-12,2025-03-13,85.36585365853658,82,3907.958687046019,1,39.07958687046019,42.98754555750621,262.54998779296875,263.260009765625,390.79586870460207,10.000000000000005,tp_day1
MSTR,2025-03-13,2025-03-14,88.09523809523809,126,3902.136956072602,1,39.02136956072602,42.923506516798625,263.260009765625,297.489990234375,390.21369560726043,10.000000000000005,tp_day1
HOOD,2025-03-17,2025-03-18,90.11627906976744,172,4875.269570639192,8,6.094086963298991,5.484678266969092,42.02000045776367,40.099998474121094,-487.5269570639184,-9.999999999999984,stop
MSTR,2025-03-18,2025-03-19,85.71428571428571,42,4489.372653068198,1,44.89372653068198,49.38309918375018,283.19000244140625,304.2300109863281,448.93726530682034,10.000000000000012,tp_day1
PLTR,2025-03-19,2025-03-20,90.84507042253522,142,5059.834356427454,5,10.119668712854907,11.131635584140398,86.0999984741211,87.38999938964844,505.98343564274455,9.999999999999984,tp_day1
PLTR,2025-03-20,2025-03-21,91.0344827586207,145,5096.512484529579,5,10.193024969059158,11.212327465965075,87.38999938964844,90.95999908447266,509.6512484529585,10.000000000000012,tp_day1
MSTR,2025-03-21,2025-03-24,88.88888888888889,135,4782.253592634473,1,47.82253592634473,52.6047895189792,304.0,335.7200012207031,478.2253592634479,10.000000000000012,tp_day1
MSTR,2025-03-25,2025-03-26,90.12345679012346,162,5094.757487406382,1,50.947574874063825,45.85281738665744,341.80999755859375,329.30999755859375,-509.47574874063775,-9.999999999999991,stop
MSTR,2025-03-26,2025-03-28,88.46153846153845,52,4935.801613578464,1,49.35801613578464,44.422214522206176,329.30999755859375,289.4100036621094,-493.580161357846,-9.999999999999993,stop
MSTR,2025-03-31,2025-04-01,83.87096774193549,62,4363.223470920582,1,43.63223470920582,47.995458180126406,288.2699890136719,306.0199890136719,436.3223470920584,10.000000000000005,tp_day1
MSTR,2025-04-01,2025-04-02,89.28571428571429,140,4539.521150384597,1,45.39521150384597,49.93473265423057,306.0199890136719,312.5400085449219,453.95211503846076,10.000000000000025,tp_day1
TSM,2025-04-02,2025-04-03,90.0,70,5801.105532021455,7,8.287293617173507,7.458564255456157,170.38999938964844,157.3800048828125,-580.1105532021447,-9.999999999999988,stop
HOOD,2025-04-04,2025-04-07,100.0,3,5280.246062949289,10,5.280246062949288,4.75222145665436,34.5099983215332,35.40999984741211,-528.0246062949291,-10.000000000000004,stop
MSTR,2025-04-07,2025-04-08,100.0,5,3401.9961203131943,1,34.01996120313194,30.61796508281875,268.1400146484375,237.9499969482422,-340.19961203131925,-9.999999999999995,stop
PLTR,2025-04-08,2025-04-09,82.53968253968253,63,4633.088621766343,6,7.721814369610571,8.493995806571629,77.31999969482422,92.01000213623047,463.30886217663465,10.000000000000007,tp_day1
PLTR,2025-04-09,2025-04-10,92.61083743842364,203,4516.250191917088,4,11.290625479792721,10.16156293181345,92.01000213623047,88.58999633789062,-451.62501919170836,-9.99999999999999,stop
TSM,2025-04-10,2025-04-11,100.0,2,5019.556085778143,4,12.548890214445358,13.803779235889895,151.1300048828125,157.0800018310547,501.9556085778149,10.000000000000012,tp_day1
HOOD,2025-04-11,2025-04-14,87.58169934640523,153,5103.335292133454,8,6.3791691151668175,7.0170860266835,43.68000030517578,44.13999938964844,510.3335292133461,10.000000000000014,tp_day1
HOOD,2025-04-14,2025-04-15,83.16831683168317,101,5688.363314377166,9,6.320403682641295,6.9524440509054255,44.13999938964844,44.08000183105469,568.8363314377166,10.0,tp_day1
TQQQ,2025-04-16,2025-04-17,80.0,5,6000.510594783299,13,4.6157773806025375,5.077355118662791,22.645000457763672,22.579999923706055,600.05105947833,10.000000000000002,tp_day1
MSTR,2025-04-17,2025-04-21,90.85365853658537,164,5186.328170443899,1,51.86328170443898,57.04960987488288,317.20001220703125,317.760009765625,518.6328170443894,9.999999999999991,tp_day1
TQQQ,2025-04-21,2025-04-22,85.71428571428571,7,6441.2518137907255,15,4.2941678758604835,4.723584663446532,20.93000030517578,22.530000686645508,644.1251813790723,9.999999999999996,tp_day1
COIN,2025-04-24,2025-04-25,85.0,180,6719.037245703976,3,22.396790819013255,24.636469900914584,203.8699951171875,209.63999938964844,671.9037245704003,10.00000000000004,tp_day1
PLTR,2025-04-25,2025-04-28,91.15646258503402,147,7052.728486955108,5,14.105456973910215,15.516002671301237,112.77999877929688,114.6500015258789,705.2728486955111,10.000000000000005,tp_day1
MSTR,2025-04-28,2025-04-29,88.9908256880734,109,5591.6490484583255,1,55.91649048458326,61.508139533041586,369.25,381.45001220703125,559.164904845833,10.000000000000007,tp_day1
MSTR,2025-04-29,2025-04-30,92.67015706806284,191,5778.570902370632,1,57.785709023706325,52.00713812133569,381.45001220703125,380.1099853515625,-577.857090237063,-9.999999999999995,stop
MSTR,2025-04-30,2025-05-01,87.83783783783784,74,5708.320930378715,1,57.08320930378715,62.79153023416587,380.1099853515625,381.6000061035156,570.8320930378713,9.999999999999996,tp_day1
