ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
VRSK,2025-03-13,2025-03-14,100.0,17,4502.771612333944,5,9.005543224667889,9.906097547134678,289.5,288.5799865722656,450.2771612333945,10.000000000000002,tp_day1
GEHC,2025-03-14,2025-03-17,100.0,18,5111.658527904279,24,2.1298577199601163,2.342843491956128,81.97000122070312,82.47000122070312,511.1658527904283,10.000000000000007,tp_day1
GEHC,2025-03-17,2025-03-18,100.0,43,5435.249148765605,25,2.174099659506242,1.956689693555618,82.47000122070312,82.13999938964844,-543.5249148765606,-10.000000000000002,stop
GEHC,2025-03-18,2025-03-19,100.0,14,5102.929607901654,24,2.1262206699590225,2.3388427369549247,82.13999938964844,82.4000015258789,510.2929607901651,9.999999999999995,tp_day1
GEHC,2025-03-19,2025-03-20,100.0,43,5388.146755340486,25,2.1552587021361944,1.939732831922575,82.4000015258789,81.80999755859375,-538.8146755340485,-9.999999999999998,stop
KLAC,2025-03-20,2025-03-21,95.0,20,3934.0553458483064,1,39.340553458483065,35.40649811263476,716.4600219726562,706.489990234375,-393.40553458483055,-9.999999999999998,stop
BKR,2025-03-21,2025-03-24,100.0,13,4819.781521961744,27,1.7851042673932387,1.9636146941325627,44.11000061035156,44.599998474121094,481.97815219617496,10.000000000000012,tp_day1
VRTX,2025-03-24,2025-03-25,94.87179487179486,39,4003.008258472627,3,13.343360861575423,12.009024775417881,511.739990234375,509.0400085449219,-400.3008258472628,-10.000000000000002,stop
GEHC,2025-03-25,2025-03-26,97.87234042553192,47,4883.794893785958,22,2.219906769902708,1.9979160929124373,82.45999908447266,81.0,-488.3794893785962,-10.000000000000007,stop
CHTR,2025-03-26,2025-03-27,93.18181818181817,44,4511.283710709754,3,15.037612369032514,16.541373605935767,384.7699890136719,382.0199890136719,451.12837107097585,10.00000000000001,tp_day1
ROP,2025-03-27,2025-03-28,95.83333333333334,24,4156.451664553,3,13.854838881843335,12.469354993659001,592.5499877929688,582.6400146484375,-415.64516645529966,-9.999999999999991,stop
CSGP,2025-03-28,2025-03-31,100.0,10,4557.249247780673,14,3.2551780341290524,3.580695837541958,79.30999755859375,79.2300033569336,455.72492477806827,10.000000000000021,tp_day1
INTU,2025-03-31,2025-04-01,100.0,33,4924.8073782598385,2,24.624036891299195,27.086440580429116,613.989990234375,613.780029296875,492.48073782598476,10.000000000000018,tp_day1
INTU,2025-04-01,2025-04-02,100.0,27,4911.234255026032,2,24.556171275130158,22.100554147617142,613.780029296875,620.9099731445312,-491.1234255026038,-10.000000000000012,stop
INTU,2025-04-02,2025-04-03,100.0,26,4674.7366891925985,2,23.373683445962993,21.036315101366693,620.9099731445312,598.530029296875,-467.4736689192596,-9.999999999999993,stop
VRTX,2025-04-03,2025-04-04,90.9090909090909,33,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
MSTR,2025-04-04,2025-04-07,85.71428571428571,14,4281.3222348814525,1,42.81322234881453,38.53190011393308,293.6099853515625,268.1400146484375,-428.132223488145,-9.999999999999993,stop
CSGP,2025-04-07,2025-04-08,95.1219512195122,41,4224.148810314746,11,3.8401352821043147,3.4561217538938833,75.75,73.2300033569336,-422.4148810314746,-10.0,stop
CPRT,2025-04-08,2025-04-09,92.10526315789474,38,4016.030457843969,22,1.825468389929077,2.008015228921985,54.59000015258789,58.52000045776367,401.6030457843972,10.000000000000005,tp_day1
INTU,2025-04-09,2025-04-10,100.0,33,3685.842417911138,1,36.85842417911138,33.17258176120024,596.47998046875,577.469970703125,-368.584241791114,-10.000000000000005,stop
EA,2025-04-10,2025-04-11,90.9090909090909,22,4013.1045326553385,7,5.733006475221912,6.306307122744104,139.38999938964844,142.92999267578125,401.3104532655343,10.000000000000012,tp_day1
CSGP,2025-04-11,2025-04-14,100.0,23,4222.407188579877,9,4.69156354286653,5.160719897153183,77.38999938964844,79.52999877929688,422.2407188579882,10.000000000000012,tp_day1
CSGP,2025-04-14,2025-04-15,95.0,40,4392.655924199648,9,4.880728804666276,5.368801685132905,79.52999877929688,80.51000213623047,439.2655924199653,10.00000000000001,tp_day1
