date,cash,position_value,equity,open_tickers,open_count
2025-03-13,5497.228387666056,4502.771612333944,10000.0,VRSK,1
2025-03-14,5338.618633329115,5111.658527904279,10450.277161233395,GEHC,1
2025-03-17,5526.193865258217,5435.249148765605,10961.443014023822,GEHC,1
2025-03-18,5314.988491245606,5102.929607901654,10417.91809914726,GEHC,1
2025-03-19,5540.064304596938,5388.146755340486,10928.211059937425,GEHC,1
2025-03-20,6455.341038555069,3934.0553458483064,10389.396384403375,KLAC,1
2025-03-21,5176.209327856801,4819.781521961744,9995.990849818545,BKR,1
2025-03-24,6474.960743542094,4003.008258472627,10477.96900201472,VRTX,1
2025-03-25,5193.873282381501,4883.794893785958,10077.668176167459,GEHC,1
2025-03-26,5078.004976079109,4511.283710709754,9589.288686788863,CHTR,1
2025-03-27,5883.965393306838,4156.451664553,10040.417057859839,ROP,1
2025-03-28,5067.522643623867,4557.249247780673,9624.77189140454,CSGP,1
2025-03-31,5155.689437922769,4924.8073782598385,10080.496816182607,INTU,1
2025-04-01,5661.74329898256,4911.234255026032,10572.977554008592,INTU,1
2025-04-02,5407.117439313389,4674.7366891925985,10081.854128505987,INTU,1
2025-04-03,5475.739461659603,4138.640997927125,9614.380459586728,VRTX,1
2025-04-04,4919.194124912563,4281.3222348814525,9200.516359794015,MSTR,1
2025-04-07,4548.235325991125,4224.148810314746,8772.384136305871,CSGP,1
2025-04-08,4333.938797430427,4016.030457843969,8349.969255274396,CPRT,1
2025-04-09,5065.7298831476555,3685.842417911138,8751.572301058794,INTU,1
2025-04-10,4369.8835266123415,4013.1045326553385,8382.98805926768,EA,1
2025-04-11,4561.891323953338,4222.407188579877,8784.298512533214,CSGP,1
2025-04-14,4813.883307191553,4392.655924199648,9206.539231391202,CSGP,1
2025-04-15,5110.106537475186,4535.69828633598,9645.804823811166,TTWO,1
2025-04-16,9192.234995177569,0.0,9192.234995177569,,0
2025-04-17,6080.7952817388605,3111.439713438708,9192.234995177569,VRTX,1
2025-04-21,4826.482472379986,4054.6085514537126,8881.091023833698,QCOM,1
2025-04-22,5201.72239014914,4084.8294888299297,9286.55187897907,FTNT,1
